id,Name,Ethnic,Address,Telephone,CellPhone
1,華園飲食店,阿美族,花蓮縣花蓮市主權里中原路95號,03-8342546,0933-485087
2,流流社原住民風味餐廳,噶瑪蘭族,花蓮縣花蓮市民意里尚志路35-5號,No,0918-248563
3,伊敏風味餐,太魯閣族,花蓮縣秀林鄉佳民村4-1號,03-8260225,0925-718020
4,郭霖創意工作室,太魯閣族,花蓮縣秀林鄉崇德村崇德96號,03-8621033,0926-132068
5,野之味,太魯閣族,花蓮縣秀林鄉景美村三棧路54-2號,03-8269738,0988-727518
6,瑪賽風味餐,太魯閣族,花蓮縣秀林鄉銅門村2鄰榕樹路18-7號,03-8641668,0927-970510
7,永吉利早餐店,阿美族,花蓮縣吉安鄉仁里村南埔八街104號,03-8528770,0934-283767
8,後山手工饅頭,阿美族,花蓮縣吉安鄉北昌村建昌路28號,03-8670962,0928-079756
9,昌永餐廳,阿美族,花蓮縣吉安鄉東昌村東里15街64巷10號,03-8642837,0932-653417
10,六月坊,阿美族,花蓮縣吉安鄉東昌村東海10街12號,03-8537382,0912-700545
11,吉祥餐廳,阿美族,花蓮縣吉安鄉南昌村中山路二段183-1號,03-8535658,0939-928651
12,華南排骨店,阿美族,花蓮縣吉安鄉南昌村文化七路46號,03-8542249,0919-596260
13,連海企業社,阿美族,花蓮縣吉安鄉慶豐村慶豐三街268-26號,03-8261353,No
14,項鍊咖啡,阿美族,花蓮縣豐濱鄉港口村8鄰146號,03-8781575,0915-964441
15,頭目海產店,撒奇萊雅族,花蓮縣豐濱鄉磯崎村3鄰49號,03-8711256,No
16,一級棒原住民美食小館,泰雅族,花蓮縣玉里鎮永昌村7鄰自強五街28號,No,0933-485883
17,露咪美食坊,阿美族,花蓮縣玉里鎮春日里神農九鄰36號,03-8875247,0931-123667
